"Category","Year","Unit","Fleet","Estimate..metric.tonnes.","SD..log.","SD..natural."
"Gadus chalcogrammus",1982,1,"All_areas",2374459.78306977,0.0883999239649286,209902.064281149
"Gadus chalcogrammus",1983,1,"All_areas",5365046.39390924,0.0856637915624116,459590.21601051
"Gadus chalcogrammus",1984,1,"All_areas",3870541.18134664,0.0853025593952783,330167.069013692
"Gadus chalcogrammus",1985,1,"All_areas",4614563.90938808,0.105657644149713,487563.951444235
"Gadus chalcogrammus",1986,1,"All_areas",4289670.23871863,0.0877056191304014,376228.184152075
"Gadus chalcogrammus",1987,1,"All_areas",4609083.36388313,0.091505940156195,421758.506470403
"Gadus chalcogrammus",1988,1,"All_areas",6456251.5751197,0.0956393015281852,617471.391134694
"Gadus chalcogrammus",1989,1,"All_areas",5972155.22505245,0.0859538516342311,513329.744150756
"Gadus chalcogrammus",1990,1,"All_areas",6384235.10396648,0.103336629429853,659725.337131644
"Gadus chalcogrammus",1991,1,"All_areas",4500695.26479148,0.0888293784956261,399793.963169634
"Gadus chalcogrammus",1992,1,"All_areas",4183021.1749338,0.0888482392409241,371654.066100369
"Gadus chalcogrammus",1993,1,"All_areas",5063575.61771857,0.0844621834083932,427680.652526013
"Gadus chalcogrammus",1994,1,"All_areas",4525437.07852693,0.083748970048707,379000.69434686
"Gadus chalcogrammus",1995,1,"All_areas",4361823.76409492,0.0995244880893896,434108.277257681
"Gadus chalcogrammus",1996,1,"All_areas",2727101.5505345,0.0783364876153969,213631.556839375
"Gadus chalcogrammus",1997,1,"All_areas",3170486.47488825,0.0818930843667184,259640.916371563
"Gadus chalcogrammus",1998,1,"All_areas",2384471.66602262,0.0813397399553948,193952.305245287
"Gadus chalcogrammus",1999,1,"All_areas",3246004.55425615,0.0919269362947495,298395.253871572
"Gadus chalcogrammus",2000,1,"All_areas",4606323.85287197,0.0849820277471476,391454.741477114
"Gadus chalcogrammus",2001,1,"All_areas",3863190.44102433,0.0834720024501958,322468.241958756
"Gadus chalcogrammus",2002,1,"All_areas",4329298.34750767,0.0773672766779381,334946.023072966
"Gadus chalcogrammus",2003,1,"All_areas",7133794.72769198,0.0906023312430691,646338.432938409
"Gadus chalcogrammus",2004,1,"All_areas",3705752.65394399,0.079739066538192,295493.257446922
