"stratum_number","Lon","Lat","Area_in_survey_km2","EPU"
8770,-77.8596439264723,32.5226814144619,5.07359374668375,"Other"
8770,-77.8290512330964,32.5184496385314,13.3190193101715,"Other"
8770,-77.8045262143292,32.5236764376284,3.11276498138692,"Other"
8770,-77.899452265815,32.5561634073525,3.29305521218557,"Other"
8770,-77.8704656152226,32.5497165476654,13.3665962948311,"Other"
8770,-77.8316370814149,32.5513900825782,13.7196160000172,"Other"
8770,-77.7967361082094,32.5552439493877,10.3271512560944,"Other"
8770,-77.7734118294294,32.5706756637734,0.012692321514232,"Other"
8770,-77.9392820518704,32.589648412018,1.88590969189992,"Other"
8770,-77.9113990029016,32.5817493634867,12.6505543994353,"Other"
8770,-77.8733199015434,32.5827553582782,13.7196159999828,"Other"
8770,-77.8340554105588,32.5848223815635,13.7196160000034,"Other"
8770,-77.7947888530012,32.5868751189055,13.7196159999828,"Other"
8770,-77.7660785300845,32.5929538916423,5.36269999058846,"Other"
8770,-77.9791337669415,32.6231374278265,0.861702982696884,"Other"
8770,-77.9520199248803,32.6140044801365,11.5370345260664,"Other"
8770,-77.9150361288985,32.6141027282222,13.7196160000034,"Other"
8770,-77.8757570092858,32.6161847983882,13.7196159999966,"Other"
8770,-77.8364758062762,32.6182525784264,13.7196160000172,"Other"
8770,-77.7971925340468,32.6203060673682,13.7196159999966,"Other"
8770,-77.7585802042772,32.6228619652741,13.1925616093858,"Other"
8770,-77.7265818741816,32.6327229037366,4.6169953630637,"Other"
8770,-78.0190070535565,32.6566294147556,0.230080000190629,"Other"
8770,-77.9922955691271,32.6464184310674,10.0164129392317,"Other"
8770,-77.9567857864601,32.6454321833912,13.7196160000138,"Other"
8770,-77.9174920435711,32.6475293109935,13.7196160000069,"Other"
8770,-77.8781962004255,32.6496121442857,13.719616,"Other"
8770,-77.8388982712138,32.6516806822908,13.7196160000207,"Other"
8770,-77.799598270131,32.6537349240383,13.719616,"Other"
8770,-77.7602962113768,32.6557748685639,13.7196160000207,"Other"
8770,-77.7210165280188,32.657819199279,13.7029392043509,"Other"
8770,-77.6848998737677,32.6647257936773,8.99574147051861,"Other"
8770,-77.6555094422047,32.6738876188957,1.39856638564866,"Other"
8770,-78.0589025655868,32.6901256679206,0.000750654681109,"Other"
8770,-78.0320624427924,32.6789277854993,8.07900076925944,"Other"
8770,-77.9985688971897,32.6767437147291,13.719615999969,"Other"
8770,-77.9592605364214,32.6788559103373,13.7196159999966,"Other"
8770,-77.9199500585008,32.6809538074556,13.7196159999897,"Other"
8770,-77.8806374776318,32.6830374050983,13.7196159999828,"Other"
8770,-77.8413228080229,32.6851067022864,13.7196160000034,"Other"
8770,-77.8020060638871,32.6871616980473,13.7196159999828,"Other"
8770,-77.7626872594422,32.689202391415,13.7196160000034,"Other"
8770,-77.7233664089102,32.6912287814301,13.719615999969,"Other"
8770,-77.6840435265176,32.6932408671397,13.7196160000034,"Other"
8770,-77.6460146212163,32.6962646989601,12.6251510058631,"Other"
8770,-77.6124041462893,32.7070034043018,4.14604194346312,"Other"
8770,-77.586043598455,32.7146465295785,0.012267528998112,"Other"
8770,-78.0716026700953,32.7118053959402,5.89853366507303,"Other"
8770,-78.0403854840303,32.7080373131427,13.7196160000172,"Other"
8770,-78.001062510825,32.7101645873407,13.7196159999828,"Other"
8770,-77.9617374035356,32.7122775588712,13.7196160000103,"Other"
8770,-77.9224101763794,32.71437622674,13.7196160000034,"Other"
8770,-77.8830808435785,32.7164605899594,13.7196159999966,"Other"
8770,-77.8437494193593,32.7185306475484,13.7196160000172,"Other"
8770,-77.8044159179529,32.7205863985325,13.7196159999966,"Other"
8770,-77.7650803535951,32.7226278419439,13.7196160000172,"Other"
8770,-77.7257427405259,32.7246549768209,13.7196159999828,"Other"
8770,-77.6864030929902,32.7266678022089,13.7196160000172,"Other"
8770,-77.6470614252369,32.7286663171595,13.7196159999966,"Other"
8770,-77.6077177515196,32.7306505207311,13.7196159999966,"Other"
8770,-77.5707403430346,32.735782177926,10.656956518082,"Other"
8770,-77.534264260731,32.7450607774039,4.25686452469213,"Other"
8770,-77.502676189544,32.7512268046082,0.512630106766569,"Other"
8600,-78.1209636568306,32.7499809966863,0.953170105046892,"Other"
8770,-78.1084597104511,32.7437781930388,2.93450805382077,"Other"
8770,-78.082010647441,32.7395258978151,13.5360749651441,"Other"
8770,-78.0428979897516,32.7414553328881,13.7196160000172,"Other"
8770,-78.0035582585448,32.743583389431,13.7196159999828,"Other"
8770,-77.964216390517,32.7456971381283,13.7196160000103,"Other"
8770,-77.9248723999034,32.7477965779839,13.7196160000034,"Other"
8770,-77.8855263009439,32.7498817080082,13.7196159999966,"Other"
8770,-77.8461781078833,32.7519525272181,13.7196160000172,"Other"
8770,-77.8068278349706,32.7540090346372,13.7196159999966,"Other"
8770,-77.7674754964597,32.7560512292954,13.7196160000172,"Other"
8770,-77.7281211066088,32.7580791102296,13.7196159999828,"Other"
8770,-77.6887646796807,32.7600926764828,13.7196160000172,"Other"
8770,-77.6494062299425,32.7620919271049,13.7196159999966,"Other"
8770,-77.610045771666,32.7640768611523,13.7196159999966,"Other"
8770,-77.5706833191271,32.7660474776879,13.7196160000034,"Other"
8770,-77.5313188866063,32.7680037757814,13.7196160000103,"Other"
8770,-77.4925996976571,32.7705198193036,13.1694009075318,"Other"
8770,-77.4612265956069,32.7791443090855,4.90615016952262,"Other"
8600,-78.1514890335317,32.7787793661796,2.29521200551369,"Other"
8600,-78.1305448297147,32.7718282585581,7.37850148483926,"Other"
